#class tools::histo::h1d
#title Energy deposited per event;Edep (MeV);Events
#dimension 1
#axis fixed 100 0 10
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
65,65,65,0.307398,0.020934
3,3,3,0.44201,0.0678494
6,6,6,1.3641,0.314758
3,3,3,1.04493,0.367079
2,2,2,0.955755,0.457464
1,1,1,0.526034,0.276711
0,0,0,0,0
2,2,2,1.4185,1.00608
1,1,1,0.818881,0.670566
0,0,0,0,0
2,2,2,2.03087,2.06259
0,0,0,0,0
1,1,1,1.24598,1.55246
1,1,1,1.31895,1.73963
1,1,1,1.49208,2.22629
4,4,4,6.25894,9.79513
0,0,0,0,0
0,0,0,0,0
2,2,2,3.6959,6.83172
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,2.43087,5.90912
1,1,1,2.59381,6.72784
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,3.32381,11.0477
0,0,0,0,0
0,0,0,0,0
1,1,1,3.64827,13.3099
1,1,1,3.78392,14.318
0,0,0,0,0
0,0,0,0,0
1,1,1,4.06334,16.5107
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
